Overall,,,,,,,,,,,,,,
,,,,,,,Fixed Ratings,,,,,,,
Team,2016,2015,2014,2013,2012,,2016,2015,2014,2013,2012,,this year average,2015 average
Alabama,301.41,309.07,319.58,319.48,310.09,,301.41,309.07,319.58,319.48,310.09,,312.385,314.555
Florida State,295.44,285.69,286.77,262.44,287.73,,295.44,285.69,286.77,262.44,287.73,,282.585,280.6575
LSU,290.99,282.35,299.3,281.03,247.12,,290.99,282.35,299.3,281.03,247.12,,288.4175,277.45
Ohio State,289.12,277.78,296.06,303.27,281.68,,289.12,277.78,296.06,303.27,281.68,,291.5575,289.6975
Ole Miss,281.69,244.59,241.12,275.5,188.84,,281.69,244.59,241.12,275.5,188.84,,260.725,237.5125
Michigan,280.38,194.69,233.57,289.15,275.89,,280.38,194.69,233.57,289.15,275.89,,249.4475,248.325
Texas,280.31,271.84,240.71,234.51,295.82,,280.31,271.84,240.71,234.51,295.82,,256.8425,260.72
Georgia,277.61,282.44,273.38,260.38,270.38,,277.61,282.44,273.38,260.38,270.38,,273.4525,271.645
Auburn,275.27,277.4,277.02,267.37,257.6,,275.27,277.4,277.02,267.37,257.6,,274.265,269.8475
USC,272.54,308.3,264.21,256.42,270.22,,272.54,308.3,264.21,256.42,270.22,,275.3675,274.7875
Clemson,271.54,277.24,240.66,249.51,245.9,,271.54,277.24,240.66,249.51,245.9,,259.7375,253.3275
Florida,260.96,227.91,267.75,291.48,287,,260.96,227.91,267.75,291.48,287,,262.025,268.535
UCLA,259.06,268.66,239.47,276.26,243.5,,259.06,268.66,239.47,276.26,243.5,,260.8625,256.9725
Tennessee,253.94,285.64,274.76,213.57,239.1,,253.94,285.64,274.76,213.57,239.1,,256.9775,253.2675
Notre Dame,249.43,266.46,260.44,284.76,244.29,,249.43,266.46,260.44,284.76,244.29,,265.2725,263.9875
Stanford,247.03,220.48,250.06,174.43,272.45,,247.03,220.48,250.06,174.43,272.45,,223,229.355
Michigan State,239.2,222.36,217.41,194.39,206.97,,239.2,222.36,217.41,194.39,206.97,,218.34,210.2825
Texas A&M,238.94,270.42,278.25,267.79,245.27,,238.94,270.42,278.25,267.79,245.27,,263.85,265.4325
Oklahoma,238.02,250.24,248.55,241.41,251.2,,238.02,250.24,248.55,241.41,251.2,,244.555,247.85
Penn State,237.79,250.22,222.38,195.03,189.29,,237.79,250.22,222.38,195.03,189.29,,226.355,214.23
Miami,235.05,216.19,255.8,250.42,264.52,,235.05,216.19,255.8,250.42,264.52,,239.365,246.7325
TCU,234.93,187.52,188.06,194.38,214.72,,234.93,187.52,188.06,194.38,214.72,,201.2225,196.17
Arkansas,219.96,221.95,215.62,215.94,217.57,,219.96,221.95,215.62,215.94,217.57,,218.3675,217.77
South Carolina,218.91,237.05,239.46,223.67,244.95,,218.91,237.05,239.46,223.67,244.95,,229.7725,236.2825
Nebraska,218.49,212.17,197.83,220.22,210.46,,218.49,212.17,197.83,220.22,210.46,,212.1775,210.17
Arizona State,217.62,232.1,222.47,191.15,203.11,,217.62,232.1,222.47,191.15,203.11,,215.835,212.2075
Mississippi State,214.99,238,200.03,212.84,223.68,,214.99,238,200.03,212.84,223.68,,216.465,218.6375
Oregon,214.01,245.07,232.45,227.7,247.3,,214.01,245.07,232.45,227.7,247.3,,229.8075,238.13
Washington,209.35,215.86,197.58,234.44,220.93,,209.35,215.86,197.58,234.44,220.93,,214.3075,217.2025
Pittsburgh,209.04,182.8,184.56,195.37,196.01,,209.04,182.8,184.56,195.37,196.01,,192.9425,189.685
California,207.74,198.81,173.56,190.82,206.59,,207.74,198.81,173.56,190.82,206.59,,192.7325,192.445
Wisconsin,204.95,190.29,204.85,191.24,157.55,,204.95,190.29,204.85,191.24,157.55,,197.8325,185.9825
Duke,204.76,175.85,166.42,147.18,163.5,,204.76,175.85,166.42,147.18,163.5,,173.5525,163.2375
Kentucky,204.31,193.47,225.45,194.59,184.47,,204.31,193.47,225.45,194.59,184.47,,204.455,199.495
Houston,203.39,128.82,143.91,170.53,172.27,,203.39,128.82,143.91,170.53,172.27,,161.6625,153.8825
North Carolina,202.07,213.7,211.63,206.44,195.17,,202.07,213.7,211.63,206.44,195.17,,208.46,206.735
Utah,200.88,183.29,160.27,180.94,202.19,,200.88,183.29,160.27,180.94,202.19,,181.345,181.6725
Louisville,195.63,201.19,183.93,193.72,191.68,,195.63,201.19,183.93,193.72,191.68,,193.6175,192.63
West Virginia,193.84,197.43,196.51,200.75,202.66,,193.84,197.43,196.51,200.75,202.66,,197.1325,199.3375
Virginia Tech,191.24,212.5,216.97,223.02,226.62,,191.24,212.5,216.97,223.02,226.62,,210.9325,219.7775
Baylor,190.32,195.62,217,206.9,218.36,,190.32,195.62,217,206.9,218.36,,202.46,209.47
Maryland,189.1,181.86,191.72,190.61,201.19,,189.1,181.86,191.72,190.61,201.19,,188.3225,191.345
Missouri,188.35,217.59,195.14,188.16,209.77,,188.35,217.59,195.14,188.16,209.77,,197.31,202.665
Arizona,184.35,186.46,211.66,186.75,196.15,,184.35,186.46,211.66,186.75,196.15,,192.305,195.255
Oklahoma State,183.52,192.06,216.48,200.8,209.48,,183.52,192.06,216.48,200.8,209.48,,198.215,204.705
Texas Tech,182.63,200.58,190.12,182.63,217.78,,182.63,200.58,190.12,182.63,217.78,,188.99,197.7775
Oregon State,181.73,167.96,164.97,186.45,192.35,,181.73,167.96,164.97,186.45,192.35,,175.2775,177.9325
Minnesota,181.41,165.56,169.94,151.4,167.47,,181.41,165.56,169.94,151.4,167.47,,167.0775,163.5925
Iowa,180.9,168.52,168.33,169.95,197.75,,180.9,168.52,168.33,169.95,197.75,,171.925,176.1375
N.C. State,178.77,207.36,200.91,161.86,179.32,,178.77,207.36,200.91,161.86,179.32,,187.225,187.3625
Brigham Young,177.11,165.21,160.55,153.42,142.87,,177.11,165.21,160.55,153.42,142.87,,164.0725,155.5125
Northwestern,174.71,174.34,182.1,173.91,177.2,,174.71,174.34,182.1,173.91,177.2,,176.265,176.8875
Iowa State,172.96,164.4,169.6,161.61,152.85,,172.96,164.4,169.6,161.61,152.85,,167.1425,162.115
Vanderbilt,172.92,183.15,183.62,210.75,188.56,,172.92,183.15,183.62,210.75,188.56,,187.61,191.52
Indiana,169.77,175.82,180.15,188.56,171.55,,169.77,175.82,180.15,188.56,171.55,,178.575,179.02
Marshall,169.39,150.07,165.7,170.31,133.94,,169.39,150.07,165.7,170.31,133.94,,163.8675,155.005
Washington State,168.93,188.52,172.66,173.67,169.03,,168.93,188.52,172.66,173.67,169.03,,175.945,175.97
