TEAM,Average Recruiting Rating,Sagarin Rating
Alabama,312.385,102.73
Florida State,282.585,84.97
LSU,288.4175,90.26
Ohio State,291.5575,96.67
Ole Miss,260.725,84.5
Michigan,249.4475,98.54
Texas,256.8425,77.87
Georgia,273.4525,72.74
Auburn,274.265,91.19
USC,275.3675,84.57
Clemson,259.7375,92.54
Florida,262.025,84.9
UCLA,260.8625,79.77
Tennessee,256.9775,81.93
Notre Dame,265.2725,76.54
Stanford,223,83.8
Michigan State,218.34,71.72
Texas A&M,263.85,88.99
Oklahoma,244.555,87.34
Penn State,226.355,80.97
Miami,239.365,80.61
TCU,201.2225,77.93
Arkansas,218.3675,76.31
South Carolina,229.7725,68.11
Nebraska,212.1775,81.92
Arizona State,215.835,73.8
Mississippi State,216.465,72.79
Oregon,229.8075,75.42
Washington,214.3075,92.34
Pittsburgh,192.9425,77.83
California,192.7325,73.57
Wisconsin,197.8325,86.56
Duke,173.5525,71.18
Kentucky,204.455,70.15
Houston,161.6625,79.72
North Carolina,208.46,79.97
Utah,181.345,79.22
Louisville,193.6175,90.78
West Virginia,197.1325,82.24
Virginia Tech,210.9325,84.73
Baylor,202.46,83.81
Maryland,188.3225,70.42
Missouri,197.31,68.81
Arizona,192.305,67.92
Oklahoma State,198.215,81.37
Texas Tech,188.99,74.77
Oregon State,175.2775,66.66
Minnesota,167.0775,74.86
Iowa,171.925,79.14
NC State,187.225,74.41
BYU,164.0725,77.31
Northwestern,176.265,77.57
Iowa State,167.1425,65.71
Vanderbilt,187.61,68.86
Indiana,178.575,71.52
Marshall,163.8675,55.96
Washington State,175.945,82.58
Temple,150.7275,74.19
Georgia Tech,167.08,74.6
Wake Forest,162.8175,69.05
Rutgers,172.1275,56.99
Memphis,142.6925,72.06
UCF,156.81,70.56
Virginia,187.8675,66.47
Syracuse,163.4825,67.88
South Florida,172.355,76.62
Colorado,153.825,84.16
Kansas,166.4275,52.99
Boise State,165.6675,79.17
Western Michigan,140.42,81.77
Illinois,166.4725,64.93
Georgia Southern,108.2125,61.08
Cincinnati,158.7725,63.65
Kansas State,165.675,77.59
SMU,142.5075,63.82
Colorado State,127.7175,63.63
East Carolina,141.6825,66.54
Boston College,153.92,66.93
Purdue,156.505,57.97
UNLV,118.6725,56
Massachusetts,117.86,53.79
San Diego State,149.1875,75.11
Tulane,129.9725,58.52
Fresno State,140.455,52.62
New Mexico,119.5875,61.66
Navy,110.26,71.83
San Jose State,127.3775,53.22
South Alabama,121.37,57.7
Arkansas State,123.285,61.57
Toledo,131.815,72.83
Utah State,123.865,64.07
Troy,106.9075,70.15
Louisiana Tech,130.245,70.1
Miami (OH),116.21,54.61
Middle Tennessee State,127.355,68.76
Tulsa,126.9075,72.28
Southern Mississippi,130.59,64.31
Western Kentucky,120.52,73.68
Florida Atlantic,128.6225,47.09
FIU,113.3025,48.93
North Texas,112.665,55.34
Connecticut,125.385,59.7
Nevada,123.5125,55.71
Hawai'i,115.61,57.63
Old Dominion,115.275,57.77
UTSA,106.6475,55.36
Louisiana-Lafayette,126.4875,54.25
Army West Point,92.3775,68.15
Texas State,117.945,42.77
Ball State,108.36,58.15
Northern Illinois,116.3325,62.48
Air Force,102.5225,66.8
Wyoming,102.99,64.07
Charlotte,97.5325,45.14
Ohio,108.58,62.13
Louisiana-Monroe,95.4575,44.54
Appalachian State,104.4525,71.79
Bowling Green,115.48,50.87
UTEP,86.3075,46.28
Central Michigan,106.1675,63.07
Eastern Michigan,98.8375,54.42
Buffalo,96.935,47.79
Yale,71.09,34.22
Georgia State,91.255,57.89
Idaho,88.695,52.89
Coastal Carolina,45.9475,55.44
Rice,112.8925,50.15
New Mexico State,90.6125,46.53
Akron,91.64,58.66
Columbia,27.5725,31.14
Kent State,95.355,55.75
Lamar,29.28,42.34
Austin Peay,36.405,27.46
Stephen F. Austin,32.72,38.16
Harvard,54.8825,50.15
Sam Houston State,27.07,60.01
Tennessee State,28.7675,44.17
Abilene Christian,39.3525,31.92
UC Davis,27.1,42.07
Florida A&M,27.235,25.81
North Dakota State,37.375,72.32
Montana,23.04,59.96
Samford,43.8325,56.64
Central Arkansas,29.9975,60.06
Bethune-Cookman,30.995,33.51
Jacksonville State,49.3425,64.46
Northern Iowa,27.385,66.27
Rhode Island,22.6925,25.73
Tennessee Tech,29.905,40.75
Murray State,28.8475,39.24
Western Carolina,24.955,41.6
SE Louisiana,24.5675,40.78
McNeese State,20.5475,45.83
South Dakota State,23.6825,63.11
Furman,30.0075,46.66
Northern Colorado,15.3075,43.52
James Madison,26.32,62.36
Pennsylvania,21.0925,49.09
Dartmouth,14.0925,44.3
Chattanooga,50.2175,60.92
Richmond,23.2075,59.73
Northern Arizona,39.4975,54.77
Eastern Kentucky,12.915,42.93
Delaware,29.4825,44.13
Youngstown State,19.7375,62.6
Montana State,17.355,42.18
Stony Brook,24.4475,46.73
Princeton,23.24,50.61
Nicholls State,15.86,38.47
Mercer,17.94,46.2
Northwestern State,15.805,33.57
Gardner-Webb,12.135,41.25
Weber State,16.48,46.65
Liberty,13.975,52.94
Illinois State,38.7025,56.63
Alcorn State,20.7825,30.21
Southern University,12.26,36.39
Towson,26.9925,43.3
South Dakota,14.9125,52.8
Alabama State,16.1425,24.03
Jackson State,14.485,22.86
Villanova,22.065,55.81
Lehigh,18.3175,55.56
Wofford,22.4175,53.66
SE Missouri State,17.8525,44.01
Cal Poly,14.535,54.39
Eastern Washington,18.12,66.98
Prairie View,12.1225,35.15
Norfolk State,9.555,25.02
Kennesaw State,16.54,45.66
Robert Morris,11.79,29.65
Presbyterian,15.45,27.82
Delaware State,9.25,14.27
Eastern Illinois,11.1425,46.86
William & Mary,19.67,45.47
S.C. State,34.975,39
Southern Utah,6.29,48.61
Fordham,13.175,44.18
Holy Cross,8.59,38.21
Albany,24.9275,48.8
Morehead State,3.8775,18.69
Portland State,20.8175,44.05
New Hampshire,8.97,52.04
Sacred Heart,3.125,38.32
Cornell,9.4025,32.56
Tennessee-Martin,17.8725,48.78
Bucknell,10.1475,36.1
Western Illinois,11.615,56.16
Lafayette,11.045,32.09
Savannah State,6.3525,16.86
Monmouth,14.4225,36.1
Brown,5.6725,32.14
NC Central,8.1075,37.8
Charleston Southern,16.6725,56.61
Southern Illinois,26.3875,50.16
Houston Baptist,7.1675,23.71
North Dakota,9.5275,53.15
Incarnate Word,9.06,27.62
Hampton,7.7325,31.45
Elon,5.5125,32.88
Colgate,11.6075,50.6
Idaho State,4.37,33.12
Missouri State,10.4825,44.89
Alabama A&M,4.605,19.71
NC A&T,3.6625,51.49
San Diego,1.945,46.68
VMI,5.235,36.9
Campbell,3.1675,15.61
Drake,0.9925,24.95
The Citadel,16.4025,57.8
Wagner,3.265,32.83
Valparaiso,3.4175,11.38
Morgan State,0,20.45
Miss. Valley,0,5.9
Marist,3.42,22.38
Bryant,0,35.12
East Tennessee State,14.03,25.75
Grambling State,3.305,48.51
Stetson,2,17.17
Duquesne,35.875,41.05
Georgetown,3.97,30.16
Central Connnecticut State,0,28.4
Indiana State,17.8,48.48
Howard,1,19.72
Maine,6.5475,45.78
